group,run_name,seed,status,provider_tag,ours_gap_pct,wall_clock_sec,llm_elapsed_sum_sec,llm_requests_done,eval_events,eval_errors,cost_default_input_miss_usd,cost_default_input_hit_usd,cost_default_input_usd,cost_default_output_usd
1 ds-chat,260326013656_ds-chat_seed42,42,completed,ds-chat,5.107963487656318,4965.0,428.135,32,611,1,0.0044114,0.00044113999999999997,,0.003918179999999999
1 ds-chat,260326030020_ds-chat_seed43,43,completed,ds-chat,5.119238554633217,4947.0,303.535,32,677,0,0.0037752400000000005,0.000377524,,0.00282954
1 ds-chat,260326042325_ds-chat_seed44,44,completed,ds-chat,4.975362499904361,4589.0,267.30999999999995,32,569,0,0.0039070500000000005,0.000390705,,0.0027398699999999997
1 ds-chat,260326091606_ds-chat_seed46,46,completed,ds-chat,4.851471370437312,5039.0,483.13000000000005,32,579,0,0.006055910000000001,0.000605591,,0.004354139999999999
1 ds-chat,260326111814_ds-chat_seed45,45,completed,ds-chat,4.883246145307278,5021.0,357.585,32,610,0,0.00423829,0.000423829,,0.0027697950000000002
2 ds-reasoner,260326013703_ds-reasoner_seed42,42,completed,ds-reasoner,5.2720162402110455,8081.0,3539.3810000000003,32,596,0,0.008163237500000002,0.0020779150000000005,,0.006154995
2 ds-reasoner,260326035225_ds-reasoner_seed43,43,completed,ds-reasoner,6.220869286103039,8338.0,3654.3460000000005,32,687,0,0.006673975,0.0016988300000000001,,0.005423535
2 ds-reasoner,260326061200_ds-reasoner_seed44,44,completed,ds-reasoner,4.949292502930529,12605.0,3454.953,32,586,0,0.0094125625,0.002395925,,0.0066225599999999996
2 ds-reasoner,260326091750_ds-reasoner_seed46,46,completed,ds-reasoner,4.882940947210573,9127.0,4476.303,32,588,0,0.011376612500000001,0.002895865,,0.006978435
2 ds-reasoner,260326112421_ds-reasoner_seed45,45,completed,ds-reasoner,4.941023438948467,9421.0,5049.103999999998,32,631,0,0.007529637500000001,0.0019166350000000003,,0.0055740975
3 gpt5nano,260326013708_gpt5nano_seed42,42,completed,gpt5nano,5.022956364137046,5571.0,1113.5390000000002,32,599,0,,,0.00081885,0.0019166
3 gpt5nano,260326031035_gpt5nano_seed43,43,completed,gpt5nano,6.200227545199258,5974.0,1197.8680000000002,32,693,1,,,0.0007183000000000001,0.0024376
3 gpt5nano,260326045050_gpt5nano_seed44,44,completed,gpt5nano,5.272455527568151,5546.0,1182.0560000000003,32,577,3,,,0.0013532375000000001,0.0025552
3 gpt5nano,260326091818_gpt5nano_seed46,46,completed,gpt5nano,4.88577246912234,6046.0,1488.98,32,569,1,,,0.0010367375,0.0032531000000000005
3 gpt5nano,260326111835_gpt5nano_seed45,45,completed,gpt5nano,5.0093874455575795,5707.0,1100.4409999999998,32,607,2,,,0.0006620625,0.0019327
4 gpt5mini,260326013713_gpt5mini_seed42,42,completed,gpt5mini,4.957162435204985,5660.0,1189.3949999999998,32,595,0,,,0.00410875,0.0178495
4 gpt5mini,260326031213_gpt5mini_seed43,43,completed,gpt5mini,6.245816873406324,5977.0,1115.963,32,745,0,,,0.004783625,0.012625
4 gpt5mini,260326045229_gpt5mini_seed44,44,completed,gpt5mini,5.161108159054822,5374.0,950.978,32,578,0,,,0.00524375,0.016374
4 gpt5mini,260326091827_gpt5mini_seed46,46,completed,gpt5mini,4.91849588133214,5515.0,972.8329999999999,32,585,0,,,0.004761625,0.013654
4 gpt5mini,260326111915_gpt5mini_seed45,45,completed,gpt5mini,5.3362865254851695,5629.0,948.7840000000002,32,658,2,,,0.0028449375,0.0126425
5 ds-chat+ds-reasoner,260326013733_ds-chat+ds-reasoner_seed42,42,completed,ds-chat+ds-reasoner,5.592357111992845,6902.0,2300.6130000000003,32,630,0,0.008796670000000001,0.001837787,,0.005048955
5 ds-chat+ds-reasoner,260326033313_ds-chat+ds-reasoner_seed43,43,completed,ds-chat+ds-reasoner,4.872392578277775,6463.0,1726.606,32,671,0,0.0062632175,0.0012959730000000002,,0.00405168
5 ds-chat+ds-reasoner,260326052134_ds-chat+ds-reasoner_seed44,44,completed,ds-chat+ds-reasoner,4.931250594478542,5775.0,1661.5720000000003,32,583,0,0.007725912500000001,0.001609055,,0.00603762
5 ds-chat+ds-reasoner,260326091930_ds-chat+ds-reasoner_seed46,46,completed,ds-chat+ds-reasoner,4.895192340395049,6699.0,2196.518,32,563,1,0.007336840000000001,0.0015291990000000002,,0.005861617499999999
5 ds-chat+ds-reasoner,260326111931_ds-chat+ds-reasoner_seed45,45,completed,ds-chat+ds-reasoner,5.406351329669628,7020.0,2507.8920000000003,32,630,0,0.0070679675,0.0014690130000000001,,0.005172314999999999
6 gpt5nano+gpt5mini,260326013725_gpt5nano+gpt5mini_seed42,42,completed,gpt5nano+gpt5mini,4.991815775393045,5581.0,1050.6819999999998,32,615,0,,,0.0025227,0.0070525
6 gpt5nano+gpt5mini,260326031105_gpt5nano+gpt5mini_seed43,43,completed,gpt5nano+gpt5mini,4.835013359602125,5800.0,1177.442,32,689,0,,,0.001995025,0.0079795
6 gpt5nano+gpt5mini,260326044823_gpt5nano+gpt5mini_seed44,44,completed,gpt5nano+gpt5mini,5.0244182271828075,5432.0,1049.837,32,584,0,,,0.00233635,0.0081511
6 gpt5nano+gpt5mini,260326091904_gpt5nano+gpt5mini_seed46,46,completed,gpt5nano+gpt5mini,4.916275947736279,5623.0,1160.0680000000002,32,560,0,,,0.0035384125,0.0090931
6 gpt5nano+gpt5mini,260326111925_gpt5nano+gpt5mini_seed45,45,completed,gpt5nano+gpt5mini,5.0925069491307084,5548.0,901.4119999999999,32,643,0,,,0.0028556750000000002,0.0080515
7 ds-chat+gpt5mini,260326015431_ds-chat+gpt5mini_seed42,42,completed,ds-chat+gpt5mini,5.188927179422372,5106.0,715.896,32,577,0,0.0017537100000000003,0.000175371,0.001840625,0.00899413
7 ds-chat+gpt5mini,260326032015_ds-chat+gpt5mini_seed43,43,completed,ds-chat+gpt5mini,6.135658970432291,5400.0,704.8610000000001,32,701,0,0.0016354800000000004,0.00016354800000000001,0.0016239375,0.00922675
7 ds-chat+gpt5mini,260326045055_ds-chat+gpt5mini_seed44,44,completed,ds-chat+gpt5mini,5.283866598004676,5067.0,728.428,32,557,1,0.00214767,0.00021476699999999999,0.0022896875,0.010978645
7 ds-chat+gpt5mini,260326091928_ds-chat+gpt5mini_seed46,46,completed,ds-chat+gpt5mini,4.8600301772587216,5328.0,798.916,32,586,0,0.00257789,0.00025778899999999997,0.0028643125,0.011736255
7 ds-chat+gpt5mini,260326111944_ds-chat+gpt5mini_seed45,45,completed,ds-chat+gpt5mini,5.470474671337549,5378.0,697.3290000000001,32,667,0,0.0018904900000000003,0.000189049,0.0019370625,0.007759605
8 gpt5nano+ds-reasoner,260326015346_gpt5nano+ds-reasoner_seed42,42,completed,gpt5nano+ds-reasoner,4.967241873943481,6671.0,2245.522000000001,32,568,2,0.0037923875,0.000965335,0.00030419999999999997,0.0042790875
8 gpt5nano+ds-reasoner,260326034536_gpt5nano+ds-reasoner_seed43,43,completed,gpt5nano+ds-reasoner,4.988829876947584,6758.0,1997.5490000000002,32,696,0,0.0050644,0.0012891200000000002,0.00038326250000000005,0.0041699825
8 gpt5nano+ds-reasoner,260326053853_gpt5nano+ds-reasoner_seed44,44,completed,gpt5nano+ds-reasoner,4.792585722997324,6031.0,1971.1680000000006,32,573,0,0.007563875000000001,0.0019253500000000002,0.000536775,0.0045858675
8 gpt5nano+ds-reasoner,260326091944_gpt5nano+ds-reasoner_seed46,46,completed,gpt5nano+ds-reasoner,4.889195526099286,7419.0,2904.2529999999997,32,556,0,0.007796250000000001,0.0019845,0.000538875,0.003983505
8 gpt5nano+ds-reasoner,260326112027_gpt5nano+ds-reasoner_seed45,45,completed,gpt5nano+ds-reasoner,5.115179242619172,6861.0,2394.0319999999997,32,613,0,0.0041729875,0.0010622150000000003,0.00032771250000000003,0.003899695
